,Channel_Name,Language,Tags,Last Played Game,Game ID,ChannelID,Count
1673,shofu,en,['English'],Just Chatting,509658,4073179,4742
1674,shookwon,en,"['irl', 'bald', 'English', 'AUS', 'australia', 'fish', 'bacon', 'Travel', 'Outdoors', 'Fishing']",IRL,509672,41283727,10272
1675,shtan_udachi,ru,shtan_udachi,Hearthstone,138585,89288528,18033
1676,skswhdkgo1,ko,['한국어'],MapleStory,19976,429533286,9042
1677,sco,en,['English'],World of Warcraft,18122,12665,5595
1678,scripe,en,"['English', 'RWF']",World of Warcraft,18122,55943318,15848
1679,sees360,ko,['한국어'],Just Chatting,509658,468031986,5848
1680,sheriffeli,en,"['English', 'Cooperative', 'RPG', 'RP']",Crime Scene Cleaner,343455332,144555242,17236
1681,slayproxx,pl,['Polski'],Black Myth: Wukong,519291,57361005,11069
1682,sneux,es,"['Español', 'sneux', 'Fortnite', 'blacklivesmatter', 'Black']",Slots,498566,137089044,17674
1683,snip3down,en,"['English', 'raffle']",Apex Legends,511224,21270244,72760
1684,sinksr,en,"['Rust', 'Athletic', 'Based', 'English', 'ADHD', 'PvP', 'NoBackseating', 'BackseatingAllowed']",Rust,263490,119373619,6121
1685,sjow,en,"['Battlegrounds', 'Highlevel', 'Chill', 'English']",Hearthstone,138585,22588033,25817
1686,slipix,fr,"['leagueoflegends', 'lolfr', 'Français', 'Tournoi']",League of Legends,21779,89204267,33757
1687,snipernamedg,en,"['EnduranceTraining', 'AMA', 'EndGame', 'English', 'grind']",Black Myth: Wukong,519291,42061614,4324
